"id","page","number","word","remember","Japanese","example"
"523","38","5","foster parent","","",""
"524","38","6","adoption","","",""
"525","38","7","stepmother","","",""
"526","38","8","parenting","","",""
"527","38","9","day-care center","","",""
"528","38","10","custody","","",""
"529","38","11","surname","","",""
"530","38","12","heredity","","",""
"531","38","13","descent","","",""
"532","38","14","legacy","","",""
"533","39","1","household medicine","","",""
"534","39","2","gargle","","",""
"535","39","3","thermometer","","",""
"536","39","4","antifebrile","","",""
"537","39","5","aspirin","","",""
"538","39","6","cough medicine","","",""
"539","39","7","cold medicine","","",""
"540","39","8","digestive aid","","",""
"541","39","9","binding medicine","","",""
"542","39","10","laxative","","",""
"543","39","11","antiseptic","","",""
"544","39","12","ointment","","",""
"545","39","13","sticking plaster","","",""
"546","39","14","compress","","",""
"547","40","1","food poisoning","","",""
"548","40","2","alcoholic","","",""
"549","40","3","addiction","","",""
"550","40","4","workaholic","","",""
"551","40","5","malnutrition","","",""
"552","40","6","constipation","","",""
"553","40","7","diarrhea","","",""
"554","40","8","indigestion","","",""
"555","40","9","gastritis","","",""
"556","40","10","ulcer","","",""
"557","40","11","pollinosis","","",""
"558","40","12","pneumonia","","",""
"559","40","13","diabetes","","",""
"560","40","14","stroke","","",""
"561","41","1","plague","","",""
"562","41","2","epidemic","","",""
"563","41","3","nausea","","",""
"564","41","4","rash","","",""
"565","41","5","spasm","","",""
"566","41","6","paralysis","","",""
"567","41","7","symptom","","",""
"568","41","8","aerial infection","","",""
"569","41","9","contact infection","","",""
"570","41","10","prevention","","",""
"571","41","11","vaccination","","",""
"572","41","12","injection","","",""
"573","41","13","convalescence","","",""
"574","41","14","aftereffect","","",""
"575","42","1","urine","","",""
"576","42","2","enema","","",""
"577","42","3","blood vessel","","",""
"578","42","4","syringe","","",""
"579","42","5","ultrasound examination","","",""
"580","42","6","X-ray","","",""
"581","42","7","gastroscope","","",""
"582","42","8","cancer cells","","",""
"583","42","9","anticancer","","",""
"584","42","10","operating room","","",""
"585","42","11","anesthesia","","",""
"586","42","12","intravenous solution","","",""
"587","42","13","scalpel","","",""
"588","42","14","artificial respiration","","",""
"589","43","1","menstruation","","",""
"590","43","2","pregnancy","","",""
"591","43","3","diagnosis","","",""
"592","43","4","inspection","","",""
"593","43","5","womb","","",""
"594","43","6","embryo","","",""
"595","43","7","nutrition","","",""
"596","43","8","fetus","","",""
"597","43","9","labor","","",""
"598","43","10","childbirth","","",""
"599","43","11","caesarean","","",""
"600","43","12","contraception","","",""
"601","43","13","abortion","","",""
"602","43","14","miscarriage","","",""
"603","44","1","general hospital","","",""
"604","44","2","internal medicine","","",""
"605","44","3","obstetrics","","",""
"606","44","4","gynecology","","",""
"607","44","5","pediatrics","","",""
"608","44","6","ophthalmology","","",""
"609","44","7","orthopedics","","",""
"610","44","8","dermatology","","",""
"611","44","9","neurology","","",""
"612","44","10","cosmetic plastic surgery","","",""
"613","44","11","mental hospital","","",""
"614","44","12","veterinary hospital","","",""
"615","44","13","chiropractic","","",""
"616","44","14","acupunctural","","",""
"617","45","1","dishonor","","",""
"618","45","2","suicide","","",""
"619","45","3","testament","","",""
"620","45","4","belongings","","",""
"621","45","5","corpse","","",""
"622","45","6","autopsy","","",""
"623","45","7","funeral ceremony","","",""
"624","45","8","morning","","",""
"625","45","9","coffin","","",""
"626","45","10","farewell","","",""
"627","45","11","hearse","","",""
"628","45","12","cemetery","","",""
"629","45","13","grave","","",""
"630","45","14","mortality","","",""
"631","46","1","matriculation","","",""
"632","46","2","tuition","","",""
"633","46","3","scholarship","","",""
"634","46","4","term paper","","",""
"635","46","5","final","","",""
"636","46","6","grade","","",""
"637","46","7","report card","","",""
"638","46","8","major","","",""
"639","46","9","transcript","","",""
"640","46","10","graduate thesis","","",""
"641","46","11","bachelor's degree","","",""
"642","46","12","commencement","","",""
"643","46","13","diploma","","",""
"644","46","14","doctorate","","",""
"645","47","1","school expenses","","",""
"646","47","2","remittance","","",""
"647","47","3","preparation","","",""
"648","47","4","qualification","","",""
"649","47","5","job festival","","",""
"650","47","6","explanation","","",""
"651","47","7","profession","","",""
"652","47","8","yearbook","","",""
"653","47","9","alma mater","","",""
"654","47","10","alumnus","","",""
"655","47","11","directory","","",""
"656","47","12","reunion","","",""
"657","47","13","graduate school","","",""
"658","47","14","seminary","","",""
"659","48","1","spine","","",""
"660","48","2","binding","","",""
"661","48","3","the complete works","","",""
"662","48","4","masterpiece","","",""
"663","48","5","detective story","","",""
"664","48","6","biography","","",""
"665","48","7","autobiography","","",""
"666","48","8","script","","",""
"667","48","9","encyclopedia","","",""
"668","48","10","photograph collection","","",""
"669","48","11","picture book","","",""
"670","48","12","thesis","","",""
"671","48","13","material","","",""
"672","48","14","document","","",""
"673","49","1","philosophy","","",""
"674","49","2","politics","","",""
"675","49","3","anthropology","","",""
"676","49","4","archaeology","","",""
"677","49","5","economics","","",""
"678","49","6","anatomy","","",""
"679","49","7","psychology","","",""
"680","49","8","biology","","",""
"681","49","9","botany","","",""
"682","49","10","geography","","",""
"683","49","11","astronomy","","",""
"684","49","12","physics","","",""
"685","49","13","chemistry","","",""
"686","49","14","electronics","","",""
"687","50","1","degeneration","","",""
"688","50","2","expulsion","","",""
"689","50","3","wandering","","",""
"690","50","4","flood","","",""
"691","50","5","cult","","",""
"692","50","6","escape","","",""
"693","50","7","roaming","","",""
"694","50","8","Advent","","",""
"695","50","9","prophecy","","",""
"696","50","10","appearance","","",""
"697","50","11","prayer","","",""
"698","50","12","conversion","","",""
"699","50","13","doctrine","","",""
"700","50","14","the Reformation","","",""
"701","51","1","journal","","",""
"702","51","2","credibility","","",""
"703","51","3","front page","","",""
"704","51","4","headline","","",""
"705","51","5","cover story","","",""
"706","51","6","editorial","","",""
"707","51","7","coverage","","",""
"708","51","8","publication","","",""
"709","51","9","cartoon","","",""
"710","51","10","critique","","",""
"711","51","11","classified ad","","",""
"712","51","12","agony column","","",""
"713","51","13","obituary","","",""
"714","51","14","circulation","","",""
"715","52","1","press conference","","",""
"716","52","2","bulletin","","",""
"717","52","3","transmission via satellite","","",""
"718","52","4","update","","",""
"719","52","5","feeding frenzy","","",""
"720","52","6","intelligence","","",""
"721","52","7","self-imposed control","","",""
"722","52","8","inquiry","","",""
"723","52","9","questionnaire","","",""
"724","52","10","information intensive society","","",""
"725","52","11","wire service","","",""
"726","52","12","syndicate","","",""
"727","52","13","retrieval","","",""
"728","52","14","insert","","",""
"729","53","1","courier","","",""
"730","53","2","tutor","","",""
"731","53","3","anchorman","","",""
"732","53","4","ranger","","",""
"733","53","5","practitioner","","",""
"734","53","6","astronaut","","",""
"735","53","7","servant","","",""
"736","53","8","professor","","",""
"737","53","9","chemist","","",""
"738","53","10","diploma","","",""
"739","53","11","ambassador","","",""
"740","53","12","senator","","",""
"741","53","13","aide","","",""
"742","53","14","chancellor","","",""
"743","54","1","conservative","","",""
"744","54","2","pensioner","","",""
"745","54","3","spectator","","",""
"746","54","4","commuter","","",""
"747","54","5","landlord","","",""
"748","54","6","delegate","","",""
"749","54","7","athlete","","",""
"750","54","8","receptionist","","",""
"751","54","9","entrepreneur","","",""
"752","54","10","creditor","","",""
"753","54","11","trustee","","",""
"754","54","12","incumbent","","",""
"755","54","13","bureaucrat","","",""
"756","54","14","sergeant","","",""
"757","55","1","apprentice","","",""
"758","55","2","nuisance","","",""
"759","55","3","coward","","",""
"760","55","4","patriot","","",""
"761","55","5","deputy","","",""
"762","55","6","representative","","",""
"763","55","7","predecessor","","",""
"764","55","8","superior","","",""
"765","55","9","subordinate","","",""
"766","55","10","colleague","","",""
"767","55","11","comrade","","",""
"768","55","12","buddy","","",""
"769","55","13","mate","","",""
"770","55","14","opponent","","",""
"771","56","1","savior","","",""
"772","56","2","prophet","","",""
"773","56","3","disciple","","",""
"774","56","4","believer","","",""
"775","56","5","throng","","",""
"776","56","6","clergyman","","",""
